STT,Nhóm Tính Năng,Tên Tính Năng,Mô Tả Chi Tiết & Nghiệp Vụ,Giá Trị Ứng Dụng Thực Tế,Phím Tắt / Thao Tác,Trạng Thái
1,I. Nhập liệu & Quản lý âm thanh,Thêm file nhạc đa định dạng,"Hỗ trợ mở các tệp MP3, WAV, FLAC, M4A, OGG với trình chọn tệp chuẩn Windows.","Đọc trực tiếp tất cả định dạng bài hát phổ biến.","Nút [Thêm nhạc]","Hoàn thành (100%)"
2,I. Nhập liệu & Quản lý âm thanh,Kéo thả tập tin (Drag & Drop),"Cho phép kéo thả trực tiếp file nhạc từ File Explorer Windows vào cửa sổ ứng dụng.","Thao tác siêu tốc, tiện lợi như phần mềm chuyên nghiệp.","Kéo & Thả chuột","Hoàn thành (100%)"
3,I. Nhập liệu & Quản lý âm thanh,Lưu & Mở Dự Án (.beatcut),"Lưu toàn bộ tiến trình làm việc (markers, zoom, tempo, tên file) vào file dự án để mở lại bất kỳ lúc nào.","Không sợ mất dữ liệu khi đang chỉnh sửa dở dang.","Nút [Mở] / [Lưu]","Hoàn thành (100%)"
4,I. Nhập liệu & Quản lý âm thanh,Bảng thông số tệp âm thanh,"Tự động trích xuất: Thời lượng (mm:ss), Định dạng file (MP3/WAV), Dung lượng tệp (MB), Tổng số điểm nhịp.","Nắm bắt thông số bài hát chuẩn xác để lên kịch bản video.","Tự động hiển thị","Hoàn thành (100%)"
5,II. AI & DSP Beat Detection,Web Audio DSP Engine Siêu Tốc,"Bộ phân tích nội bộ bằng thuật toán Autocorrelation + Kick/Bass Envelope, quét xong toàn bộ bài hát trong 0.1s mà không cần cài phụ thuộc.","Bắt nhịp ngay lập tức, không có độ trễ, cực kỳ nhẹ máy.","Nút [Tách nhịp AI]","Hoàn thành (100%)"
6,II. AI & DSP Beat Detection,Đo BPM (Tempo) Tự Động,"Tự động tính toán nhịp độ BPM thực tế của bài hát qua biến thiên tần số thấp (65 - 180 BPM).","Hỗ trợ DJ, Beatmaker, Editor biết chính xác tốc độ bài nhạc.","Tự động nhận diện","Hoàn thành (100%)"
7,II. AI & DSP Beat Detection,Phân cấp Nhịp Mạnh & Nhịp Nhẹ (4/4 Meter),"Tự động khóa pha khuôn nhạc: Nhịp mạnh (Downbeat - đầu mỗi 4 phách) và Nhịp nhẹ (Quarter notes 2, 3, 4) và Upbeats.","Cắt chuyển cảnh chuẩn từng cú đập trống và đổi đoạn.","Phân loại tự động","Hoàn thành (100%)"
8,II. AI & DSP Beat Detection,Librosa Spectral Audio Engine,"Hỗ trợ tích hợp Python Librosa để phân tích Onset Envelope và Spectrogram chuyên sâu trong tiến trình nền độc lập.","Đáp ứng các nhu cầu xử lý âm thanh nghiên cứu chuyên sâu.","Bảng Cài đặt Engine","Hoàn thành (100%)"
9,III. Timeline & Canvas Sóng âm,Waveform Sóng Âm Render Canvas,"Dạng sóng âm gradient xanh dương nổi bật, tối ưu nén 1.500 đỉnh đồ họa đạt 60fps mượt mà kể cả trên máy yếu.","Nhìn trực quan biên độ âm thanh to/nhỏ để đặt điểm cắt.","Canvas Hardware-Acc","Hoàn thành (100%)"
10,III. Timeline & Canvas Sóng âm,Thu phóng Timeline linh hoạt (Zoom 1x - 16x),"Thanh trượt và nút Zoom In / Zoom Out / Reset Zoom giúp phóng to chi tiết từng miligiây hoặc xem toàn bài.","Chỉnh sửa chính xác từng mili-giây như trên CapCut/Premiere.","Slider Zoom & Nút bấm","Hoàn thành (100%)"
